@relation iris-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.75,0.152542,0.125,Iris-setosa
0.138889,0.416667,0.067797,0.083333,Iris-setosa
0.222222,0.75,0.101695,0.041667,Iris-setosa
0.083333,0.5,0.067797,0.041667,Iris-setosa
0.277778,0.708333,0.084746,0.041667,Iris-setosa
0.194444,0.541667,0.067797,0.041667,Iris-setosa
0.75,0.5,0.627119,0.541667,Iris-versicolor
0.583333,0.5,0.59322,0.583333,Iris-versicolor
0.722222,0.458333,0.661017,0.583333,Iris-versicolor
0.333333,0.125,0.508475,0.5,Iris-versicolor
0.611111,0.333333,0.610169,0.583333,Iris-versicolor
0.388889,0.333333,0.59322,0.5,Iris-versicolor
0.555556,0.541667,0.627119,0.625,Iris-versicolor
0.166667,0.166667,0.389831,0.375,Iris-versicolor
0.638889,0.375,0.610169,0.5,Iris-versicolor
0.25,0.291667,0.491525,0.541667,Iris-versicolor
0.194444,0,0.423729,0.375,Iris-versicolor
0.444444,0.416667,0.542373,0.583333,Iris-versicolor
0.472222,0.083333,0.508475,0.375,Iris-versicolor
0.5,0.375,0.627119,0.541667,Iris-versicolor
0.361111,0.375,0.440678,0.5,Iris-versicolor
0.666667,0.458333,0.576271,0.541667,Iris-versicolor
0.361111,0.416667,0.59322,0.583333,Iris-versicolor
0.416667,0.291667,0.525424,0.375,Iris-versicolor
0.527778,0.083333,0.59322,0.583333,Iris-versicolor
0.361111,0.208333,0.491525,0.416667,Iris-versicolor
0.444444,0.5,0.644068,0.708333,Iris-versicolor
0.5,0.333333,0.508475,0.5,Iris-versicolor
0.555556,0.208333,0.661017,0.583333,Iris-versicolor
0.5,0.333333,0.627119,0.458333,Iris-versicolor
0.583333,0.375,0.559322,0.5,Iris-versicolor
0.638889,0.416667,0.576271,0.541667,Iris-versicolor
0.694444,0.333333,0.644068,0.541667,Iris-versicolor
0.666667,0.416667,0.677966,0.666667,Iris-versicolor
0.472222,0.375,0.59322,0.583333,Iris-versicolor
0.388889,0.25,0.423729,0.375,Iris-versicolor
0.333333,0.166667,0.474576,0.416667,Iris-versicolor
0.333333,0.166667,0.457627,0.375,Iris-versicolor
0.416667,0.291667,0.491525,0.458333,Iris-versicolor
0.472222,0.291667,0.694915,0.625,Iris-versicolor
0.305556,0.416667,0.59322,0.583333,Iris-versicolor
0.472222,0.583333,0.59322,0.625,Iris-versicolor
0.666667,0.458333,0.627119,0.583333,Iris-versicolor
0.555556,0.125,0.576271,0.5,Iris-versicolor
0.361111,0.416667,0.525424,0.5,Iris-versicolor
0.333333,0.208333,0.508475,0.5,Iris-versicolor
0.333333,0.25,0.576271,0.458333,Iris-versicolor
0.5,0.416667,0.610169,0.541667,Iris-versicolor
0.416667,0.25,0.508475,0.458333,Iris-versicolor
0.194444,0.125,0.389831,0.375,Iris-versicolor
0.361111,0.291667,0.542373,0.5,Iris-versicolor
0.388889,0.416667,0.542373,0.458333,Iris-versicolor
0.388889,0.375,0.542373,0.5,Iris-versicolor
0.527778,0.375,0.559322,0.5,Iris-versicolor
0.222222,0.208333,0.338983,0.416667,Iris-versicolor
0.388889,0.333333,0.525424,0.5,Iris-versicolor
0.555556,0.541667,0.847458,1,Iris-virginica
0.416667,0.291667,0.694915,0.75,Iris-virginica
0.777778,0.416667,0.830508,0.833333,Iris-virginica
0.555556,0.375,0.779661,0.708333,Iris-virginica
0.611111,0.416667,0.813559,0.875,Iris-virginica
0.916667,0.416667,0.949153,0.833333,Iris-virginica
0.166667,0.208333,0.59322,0.666667,Iris-virginica
0.833333,0.375,0.898305,0.708333,Iris-virginica
0.666667,0.208333,0.813559,0.708333,Iris-virginica
0.805556,0.666667,0.864407,1,Iris-virginica
0.611111,0.5,0.694915,0.791667,Iris-virginica
0.583333,0.291667,0.728814,0.75,Iris-virginica
0.694444,0.416667,0.762712,0.833333,Iris-virginica
0.388889,0.208333,0.677966,0.791667,Iris-virginica
0.416667,0.333333,0.694915,0.958333,Iris-virginica
0.583333,0.5,0.728814,0.916667,Iris-virginica
0.611111,0.416667,0.762712,0.708333,Iris-virginica
0.944444,0.75,0.966102,0.875,Iris-virginica
0.944444,0.25,1,0.916667,Iris-virginica
0.472222,0.083333,0.677966,0.583333,Iris-virginica
0.722222,0.5,0.79661,0.916667,Iris-virginica
0.361111,0.333333,0.661017,0.791667,Iris-virginica
0.944444,0.333333,0.966102,0.791667,Iris-virginica
0.555556,0.291667,0.661017,0.708333,Iris-virginica
0.666667,0.541667,0.79661,0.833333,Iris-virginica
0.805556,0.5,0.847458,0.708333,Iris-virginica
0.527778,0.333333,0.644068,0.708333,Iris-virginica
0.5,0.416667,0.661017,0.708333,Iris-virginica
0.583333,0.333333,0.779661,0.833333,Iris-virginica
0.805556,0.416667,0.813559,0.625,Iris-virginica
0.861111,0.333333,0.864407,0.75,Iris-virginica
1,0.75,0.915254,0.791667,Iris-virginica
0.583333,0.333333,0.779661,0.875,Iris-virginica
0.555556,0.333333,0.694915,0.583333,Iris-virginica
0.5,0.25,0.779661,0.541667,Iris-virginica
0.944444,0.416667,0.864407,0.916667,Iris-virginica
0.555556,0.583333,0.779661,0.958333,Iris-virginica
0.583333,0.458333,0.762712,0.708333,Iris-virginica
0.472222,0.416667,0.644068,0.708333,Iris-virginica
0.722222,0.458333,0.745763,0.833333,Iris-virginica
0.666667,0.458333,0.779661,0.958333,Iris-virginica
0.722222,0.458333,0.694915,0.916667,Iris-virginica
0.416667,0.291667,0.694915,0.75,Iris-virginica
0.694444,0.5,0.830508,0.916667,Iris-virginica
0.666667,0.541667,0.79661,1,Iris-virginica
0.666667,0.416667,0.711864,0.916667,Iris-virginica
0.555556,0.208333,0.677966,0.75,Iris-virginica
0.611111,0.416667,0.711864,0.791667,Iris-virginica
0.527778,0.583333,0.745763,0.916667,Iris-virginica
0.444444,0.416667,0.694915,0.708333,Iris-virginica
