@relation labor-neg-data

@attribute duration numeric
@attribute wage-increase-first-year numeric
@attribute wage-increase-second-year numeric
@attribute wage-increase-third-year numeric
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours numeric
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay numeric
@attribute shift-differential numeric
@attribute education-allowance {yes,no}
@attribute statutory-holidays numeric
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}

@data
2,4.6,4.6,3.733333,tcf,38,ret_allw,7.444444,4.870968,yes,11.09434,below_average,yes,half,yes,half,good
2,5,4.5,3.733333,none,38,ret_allw,14,5,yes,11,below_average,yes,half,yes,full,good
2,5.7,4.5,3.733333,none,40,ret_allw,7.444444,4.870968,yes,11,average,yes,full,yes,full,good
2,7,5.3,3.733333,none,38.039216,ret_allw,7.444444,4.870968,yes,11,below_average,yes,full,yes,half,good
3,2,3,3.733333,tcf,38.039216,empl_contr,7.444444,4.870968,yes,11.09434,below_average,yes,half,yes,half,good
3,3.5,4,4.5,tcf,35,ret_allw,7.444444,4.870968,yes,13,generous,yes,half,yes,full,good
3,4,3.5,3.733333,none,40,empl_contr,7.444444,6,yes,11,average,yes,full,yes,full,good
3,5,4.4,3.733333,none,38,empl_contr,10,6,yes,11,generous,yes,half,yes,full,good
3,5,5,5,none,40,ret_allw,7.444444,4.870968,yes,12,average,yes,half,yes,half,good
3,6,6,4,none,35,ret_allw,7.444444,14,yes,9,generous,yes,full,yes,full,good
